class_name,det_cx,det_cy,gt_u,gt_v,pixel_dist,gt_ego_x,gt_ego_y,gt_ego_z,pred_ego_x,pred_ego_y,pred_ego_z,gt_z_cam,pred_z_cam,loc_error_xy,loc_error_xyz,model,sample_token,scene_token,image_path,num_detections,num_gt_visible,num_matches,scale_factor,yolo_time_sec,midas_time_sec,total_time_sec,scene_index
car,926.88525390625,502.7350769042969,925.9880844532088,502.2391693823917,1.0251035546482106,41.61171255733666,-3.2140880456517475,0.9506069710639738,41.611785167280736,-3.2423631347182504,0.9350079847289635,39.894456481383244,39.894456481383244,0.0282751822968951,0.03229263551651505,YOLO26n,ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg,1,24,1,0.28088533372137303,0.030266800000390504,0.03280380000069272,0.06307060000108322,0
pedestrian,569.7893676757812,538.052001953125,561.3157077831293,539.6657237325018,8.625949800316132,13.595210404327071,2.481066962453516,0.9888958934220319,32.754098206367175,6.24343721412206,0.1878383561042185,11.910985439179269,31.09514915140444,19.52481528009424,19.541241129976758,YOLO26n,39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg,2,24,2,0.17579145292776105,0.017634999996516854,0.02934780000214232,0.046982799998659175,0
car,1080.3096923828125,505.6813659667969,1078.7926741865883,503.91881721377223,2.3254939936417753,32.58211330100694,-6.203639087264484,1.0397606360730811,20.799268662387878,-3.853419828212262,1.1930139911462032,30.847662538151294,19.077680520369015,12.014947288417623,12.015924639173432,YOLO26n,39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg,2,24,2,0.17579145292776105,0.017634999996516854,0.02934780000214232,0.046982799998659175,0
pedestrian,405.17974853515625,588.22216796875,395.7696134466176,591.9872670998722,10.135413847087012,8.790315474242663,2.4153691124929573,0.905145672651183,74.42513532518,24.08633838472298,-4.485949882178747,7.10634377076969,72.89256765332708,69.1198993493403,69.3298232894347,YOLO26n,356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg,4,21,3,0.24038796881104602,0.011810299998614937,0.03076589999909629,0.04257619999771123,0
car,1133.994140625,514.8502807617188,1134.3958703741969,513.1711295211911,1.726538641315411,27.971046077017725,-6.42591981181494,0.919453036930377,27.970802683963086,-6.4176264996093,0.8846601983864121,26.236159183045636,26.236159183045636,0.008296883000215544,0.03576842017011208,YOLO26n,356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg,4,21,3,0.24038796881104602,0.011810299998614937,0.03076589999909629,0.04257619999771123,0
car,955.89404296875,496.71844482421875,956.2768077206412,500.53709793576434,3.8377884831771394,44.06216406509971,-4.42443735096939,0.9740044122743098,24.57501836162203,-2.37476154124078,1.2899459466873788,42.33782250820603,22.861161399252467,19.594642599280938,19.597189534387898,YOLO26n,356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg,4,21,3,0.24038796881104602,0.011810299998614937,0.03076589999909629,0.04257619999771123,0
car,972.8929443359375,489.529541015625,973.8082473746982,488.74746773600094,1.2039178823601502,45.21838886451362,-5.146702735850896,1.364745038414575,29.727608985873147,-3.288773484007873,1.3994788611931568,43.48770338368113,28.007777274112236,15.6017999715849,15.60183863497477,YOLO26n,e0845f5322254dafadbbed75aaa07969,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929162460.jpg,3,21,3,0.3559793267190057,0.014087999999901513,0.027943100001721177,0.04203110000162269,0
car,1193.25390625,511.9119873046875,1187.0156349378951,508.9609110597675,6.901078174224785,24.669557285243457,-6.56770474638958,1.0709287474575258,40.83681489012978,-11.394190721405872,0.6703146758597589,22.933116302581556,39.074700670400134,16.872320093270623,16.87707548611861,YOLO26n,e0845f5322254dafadbbed75aaa07969,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929162460.jpg,3,21,3,0.3559793267190057,0.014087999999901513,0.027943100001721177,0.04203110000162269,0
car,760.7703247070312,495.031982421875,757.0907328704344,493.2867369739873,4.072502640554448,33.390694546995896,1.677179354927226,1.286391081818572,33.39097189703882,1.5850407257445382,1.2427808376444367,31.699590767375067,31.69959076737507,0.09213904661277515,0.10193849767207114,YOLO26n,e0845f5322254dafadbbed75aaa07969,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929162460.jpg,3,21,3,0.3559793267190057,0.014087999999901513,0.027943100001721177,0.04203110000162269,0
car,1255.9346923828125,521.5814208984375,1249.8862785349015,517.908379977416,7.0763366004663775,21.94113802304584,-6.787363213650325,0.9813573973484049,54.04399737244848,-17.82744543592034,-0.009953312086748323,20.204042081415732,52.24875570696314,33.94815155324382,33.9626219659886,YOLO26n,c923fe08b2ff4e27975d2bf30934383b,cc8c0bf57f984915a77078b10eb33198,C:\Users\ceyyd\Downloads\v1.0-mini\samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402929662460.jpg,4,23,4,0.3855161892238106,0.014708300001075258,0.029998500001966022,0.04470680000304128,0
